0,C0001,"C0001,0.9986,  C0012,0.9985,  C0013,0.9828"
1,C0002,"C0009,0.9679,  C0005,0.922,  C0010,0.8838"
2,C0003,"C0013,0.9853,  C0001,0.961,  C0001,0.9368"
3,C0004,"C0001,0.9249,  C0011,0.917,  C0004,0.8632"
4,C0005,"C0019,0.9716,  C0017,0.951,  C0002,0.9401"
5,C0006,"C0013,1,    C0013,0.995,  C0011,0.9914"
6,C0007,"C0005,0.9959,  C0017,0.9594,  C0002,0.9401"
7,C0008,"C0008,0.9488,  C0013,0.9395,  C0008,0.9275"
8,C0009,"C0017,1,   C0002,0.9581,   C0010,0.8967"
9,C0010,"C0010,0.9976,  C0009,0.9418,  C0019,0.9404"
10,C0011,"C0013,0.9995,  C0006,0.9914,  C0013,0.9914"
11,C0012,"C0012,0.9998,  C0001,0.9987,  C0011,0.9669"
12,C0013,"C0004,0.9489,  C0003,0.948,  C0008,0.9395"
13,C0014,"C0017,0.989,  C0002,0.9605,  C0017,0.9359"
14,C0015,"C0008,0.9995,  C0018,0.926,  C0018,0.9125"
15,C0016,"C0016,0.9733,  C0008,0.9665,  C0016,0.9654"
16,C0017,"C0014,0.989,  C0002,0.9612,  C0019,0.9285"
17,C0018,"C0016,1,  C0016,0.9994,  C0008, 0.9211"
18,C0019,"C0002,0.9666,  C0017,0.9285,  C0005,0.9243"
